froma,fromb,toa,tob
121.227747,31.032243,121.196003,31.061073
121.227747,31.032243,121.196003,31.061073
121.227747,31.032243,121.196003,31.061073
121.227747,31.032243,121.196003,31.061073
120.755486,30.746129,121.196003,31.061073
121.544379,31.221517,121.573668,31.256158
108.945233,34.896756,121.573668,31.256158
121.544379,31.221517,121.573668,31.256158
121.544379,31.221517,121.573668,31.256158
121.544379,31.221517,121.573668,31.256158
121.505133,31.264600,121.573668,31.256158
123.431474,41.805698,121.573668,31.256158
119.922796,28.467630,121.573668,31.256158
121.544379,31.221517,121.573668,31.256158
121.544379,31.221517,121.573668,31.256158
114.872316,30.453905,121.573668,31.256158
121.544379,31.221517,121.573668,31.256158
120.163561,33.347382,121.573668,31.256158
121.544379,31.221517,121.573668,31.256158
121.544379,31.221517,121.573668,31.256158
117.284922,31.861184,121.573668,31.256158
121.544379,31.221517,121.573668,31.256158
121.469240,31.229860,121.573668,31.256158
121.446437,31.218811,121.573668,31.256158
121.341970,30.741991,121.166677,30.898687
121.341970,30.741991,121.166677,30.898687
121.341970,30.741991,121.166677,30.898687
121.341970,30.741991,121.166677,30.898687
121.015142,30.677233,121.166677,30.898687
121.341970,30.741991,121.166677,30.898687
121.341970,30.741991,121.166677,30.898687
121.341970,30.741991,121.166677,30.898687
121.341970,30.741991,121.166677,30.898687
121.341970,30.741991,121.166677,30.898687
121.341970,30.741991,121.166677,30.898687
121.341970,30.741991,121.166677,30.898687
121.341970,30.741991,121.166677,30.898687
121.341970,30.741991,121.166677,30.898687
116.964356,33.646373,121.166677,30.898687
121.341970,30.741991,121.166677,30.898687
121.341970,30.741991,121.166677,30.898687
121.341970,30.741991,121.166677,30.898687
121.550357,29.874556,121.166677,30.898687
121.341970,30.741991,121.166677,30.898687
113.264434,23.129162,121.457054,31.284897
121.459384,31.247105,121.457054,31.284897
109.781327,39.608266,121.457054,31.284897
121.459384,31.247105,121.457054,31.284897
121.459384,31.247105,121.457054,31.284897
120.320331,32.868440,121.457054,31.284897
117.284124,34.205768,121.457054,31.284897
118.763232,32.061707,121.457054,31.284897
121.459384,31.247105,121.457054,31.284897
115.561217,29.844107,121.457054,31.284897
120.051744,32.171854,121.457054,31.284897
104.066541,30.572269,121.457054,31.284897
121.469240,31.229860,121.457054,31.284897
121.459384,31.247105,121.457054,31.284897
113.166558,30.66372,121.457054,31.284897
118.578519,30.067533,121.457054,31.284897
121.459384,31.247105,121.457054,31.284897
120.655148,27.778657,121.457054,31.284897
121.463953,31.204400,121.457054,31.284897
121.459384,31.247105,121.457054,31.284897
121.505133,31.264600,121.457054,31.284897
121.459384,31.247105,121.440434,31.283079
121.459384,31.247105,121.440434,31.283079
121.469240,31.229860,121.440434,31.283079
121.505133,31.264600,121.440434,31.283079
121.459384,31.247105,121.440434,31.283079
121.459384,31.247105,121.440434,31.283079
111.982232,21.857958,121.440434,31.283079
121.463953,31.204400,121.440434,31.283079
121.459384,31.247105,121.440434,31.283079
121.459384,31.247105,121.440434,31.283079
121.459384,31.247105,121.440434,31.283079
121.459384,31.247105,121.440434,31.283079
121.459384,31.247105,121.440434,31.283079
121.437866,31.199190,121.440434,31.283079
121.459384,31.247105,121.440434,31.283079
121.381709,31.112813,121.440434,31.283079
121.459384,31.247105,121.440434,31.283079
121.459384,31.247105,121.440434,31.283079
122.994329,41.108647,121.440434,31.283079
114.341861,30.546498,121.440434,31.283079
121.505133,31.264600,121.440434,31.283079
121.395555,31.249840,121.440434,31.283079
120.277138,31.982751,121.466792,31.217426
121.469240,31.229860,121.466792,31.217426
121.459384,31.247105,121.466792,31.217426
121.469240,31.229860,121.466792,31.217426
121.463953,31.204400,121.466792,31.217426
121.505133,31.264600,121.466792,31.217426
121.469240,31.229860,121.466792,31.217426
121.469240,31.229860,121.466792,31.217426
121.459384,31.247105,121.466792,31.217426
116.601144,39.948574,121.466792,31.217426
121.469240,31.229860,121.466792,31.217426
115.374564,33.257013,121.466792,31.217426
121.469240,31.229860,121.466792,31.217426
121.469240,31.229860,121.466792,31.217426
121.469240,31.229860,121.466792,31.217426
121.469240,31.229860,121.466792,31.217426
121.469240,31.229860,121.466792,31.217426
106.630153,26.647661,121.466792,31.217426
121.446437,31.218811,121.466792,31.217426
121.395555,31.249840,121.466792,31.217426
121.446437,31.218811,121.466792,31.217426
121.395555,31.249840,121.424201,31.255405
121.395555,31.249840,121.424201,31.255405
121.505133,31.264600,121.424201,31.255405
119.425836,32.187849,121.424201,31.255405
121.473701,31.230416,121.424201,31.255405
121.459384,31.247105,121.424201,31.255405
121.395555,31.249840,121.424201,31.255405
121.395555,31.249840,121.424201,31.255405
121.395555,31.249840,121.424201,31.255405
117.943433,28.454862,121.424201,31.255405
121.395555,31.249840,121.424201,31.255405
121.489612,31.405457,121.424201,31.255405
118.763232,32.061707,121.424201,31.255405
121.473701,31.230416,121.424201,31.255405
121.395555,31.249840,121.424201,31.255405
121.395555,31.249840,121.424201,31.255405
121.395555,31.249840,121.424201,31.255405
121.395555,31.249840,121.424201,31.255405
121.395555,31.249840,121.424201,31.255405
121.395555,31.249840,121.424201,31.255405
121.395555,31.249840,121.424201,31.255405
117.169421,34.180700,121.424201,31.255405
121.437866,31.199190,121.362290,31.182868
110.290194,25.273566,121.362290,31.182868
121.381709,31.112813,121.362290,31.182868
119.606536,32.010117,121.362290,31.182868
121.381709,31.112813,121.362290,31.182868
119.425836,32.187849,121.362290,31.182868
116.001930,29.705077,121.362290,31.182868
121.381709,31.112813,121.362290,31.182868
117.165824,35.114156,121.362290,31.182868
121.395555,31.249840,121.424201,31.255405
114.392392,36.097577,121.424201,31.255405
121.395555,31.249840,121.424201,31.255405
121.395555,31.249840,121.424201,31.255405
121.395555,31.249840,121.424201,31.255405
121.395555,31.249840,121.424201,31.255405
121.395555,31.249840,121.424201,31.255405
106.565420,31.076461,121.424201,31.255405
112.528321,32.990833,121.424201,31.255405
121.395555,31.249840,121.424201,31.255405
119.923116,32.455778,121.424201,31.255405
121.459384,31.247105,121.424201,31.255405
121.395555,31.249840,121.424201,31.255405
121.395555,31.249840,121.424201,31.255405
121.395555,31.249840,121.424201,31.255405
121.395555,31.249840,121.424201,31.255405
121.463953,31.204400,121.424201,31.255405
121.489612,31.405457,121.424201,31.255405
117.943433,28.454862,121.424201,31.255405
121.395555,31.249840,121.424201,31.255405
